Religion or spiritual tradition,Religion or spiritual tradition (other),Gender Identity,Gender Identity (not listed in survey),Race/Ethnicity**,Financial need level,Class Year Categories,School,1st Generation College,Federally Reported Race/Ethnicity,Sex,Have you ever sought any services provided by CAPS?,For which of the following reasons have you not sought services provided by CAPS?**,"Agreement with: ""I avoid consultations with CAPS because I am worried what I tell them might lead to negative academic repercussions""",For which of the following purposes would you feel comfortable utilizing CAPS?**,Which of the following CAPS services have you used?**,What was the outcome of your treatment at CAPS?,What was the outcome of your treatment at CAPS? (other),How many times did you visit CAPS?,In what school year(s) have you used or attempted to use CAPS?**,"Agreement with: ""CAPS was beneficial to my mental health""",Why did CAPS not have a beneficial effect on your mental health?**,Have you ever contacted the CAPS crisis support line?,You indicated that you have not contacted the CAPS crisis support line. Why?,You indicated that you have not contacted the CAPS crisis support line. Why? (other),Have you used the virtual support service TimelyCare?,"Agreement with: ""TimelyCare was beneficial for my mental health""","Agreement with: ""CAPS is committed to providing good quality treatment to students, regardless of their identity""","Agreement with: ""CAPS has the resources necessary to treat students of marginalized identities""","Agreement with: ""CAPS does their best to treat students of marginalized identities""",Which of the following sources have influenced your opinion about CAPS?**,"Which of the following resources, excluding CAPS, would you turn to if you were struggling with mental health?**","Which of the following are mental health and intervention offerings by Northwestern that you are aware of, if any?**","Which of the following would you consider to be your main source of community, support, and well-being?","Agreement with: ""I have been able to access meaningful mental health services provided to me by Northwestern""",Have you ever experienced a mental health issue that has impacted your academic performance at NU?,"Have you ever considered taking a medical leave of absence (""MLOA"") at Northwestern for mental health purposes?","Why did you not take a medical leave of absence (""MLOA"")? (if ""considered taking MLOA"" was selected)**",Which of the following identities best describes you?,"Agreement with: ""I feel comfortable expressing my religious or spiritual identity on campus""",In which of the following settings do you not feel comfortable expressing your religious or spiritual identity?**,"Agreement with: ""My professors treat my religion or spirituality with respect""","Agreement with: ""I have a space on campus where I can adequately practice my religion or spirituality""","Agreement with: ""I receive the academic accommodations that I need to account for my religious or spiritual restrictions""",What resources provided by Religious and Spiritual Life (RSL) are you aware of?**,"Agreement with: ""I would use a confidential conversation with a university chaplain for support""",Why would you not use a confidential conversation with a chaplain for support?**,"Agreement with: ""I would be more likely to consult with a university chaplain if they came from a secular background""",Do you identify as a first-generation student?,Do you identify as a low-income student?,"Agreement with: ""I feel supported by Student Enrichment Services (SES)""","Agreement with: ""I feel I have found a community on campus where I belong""","Agreement with: ""I feel like I am treated equally in the classroom, regardless of my socio-economic background""",Do you currently work a job on or off campus?,Hours per week you dedicate to non-paying student organizations,"Agreement with: ""Cost is something I consider when registering for classes""","Agreement with: ""I have financially struggled to purchase required books for classes""","Agreement with: ""I have financially struggled to purchase required technology for classes""",In what years during your time at Northwestern have you struggled financially to purchase required course materials?**
Muslim,No answer,Cisgender woman,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Fourth Year,School of Engineering,Not 1st Generation,White,Female,Yes,No answer,Neither agree nor disagree,Emergency mental health care,"External referral to non-CAPS provider,Individual therapy at CAPS",I met with someone at CAPS and then was referred to an outside care person.,No answer,Once,2019-2020,Somewhat disagree,"The counseling I received did not adequately address my concerns or needs.,CAPS was not prepared to handle my specific need.,CAPS staff could not relate to my identities/experiences.",No,I have not needed to,No answer,No,No answer,Strongly disagree,Strongly disagree,Somewhat disagree,"Personal experience with CAPS,Friends,Student advocacy groups (e.g. Reform CAPS),Social media and online platforms,Student publications",Friends,"Let's Talk,ResilientNU,Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Student organization",Somewhat disagree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am religious,Somewhat agree,No answer,Somewhat disagree,Somewhat agree,Somewhat agree,Weekly religious services,Strongly disagree,"I have other sources of support,I don't trust that the conversation would be truly confidential",Neither agree nor disagree,No,No,No answer,Somewhat agree,No answer,"Yes, one",Between 1-5 hours,Neither agree nor disagree,Strongly agree,Somewhat agree,"First year,Second year,Third year,Fourth year"
Presbyterian,No answer,Non-binary / Non-conforming,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese),Black or African-American (Examples: Jamaican, Nigerian, Haitian, Ethiopian)",Not High Need 4+,Fourth Year,School of Communication,Not 1st Generation,Two or More Races,Female,Yes,No answer,Strongly agree,"Coping with academic-related stress,Emergency mental health care","External referral to non-CAPS provider,Crisis consultation,Individual therapy at CAPS",I met with someone at CAPS and then was referred to an outside care person.,No answer,Eleven or more times,"2020-2021,2021-2022,2022-2023",Somewhat agree,No answer,No,No answer,All 3 reasons and fear of police involvement,No,No answer,Strongly disagree,Strongly disagree,Neither agree nor disagree,"Personal experience with CAPS,Friends,Student advocacy groups (e.g. Reform CAPS),Social media and online platforms,Student publications,Peer advisors and student mentors","Friends,Family,My therapist","Soldari-tea,Drop-In Hours at the Women's Center,Let's Talk,Appointment at CAPS,Virtual appointment through TimelyCare",Friend Group,Strongly agree,Yes,"Yes, although I did not take one.","I had a lack of information and guidance about the MLOA process,Lack of financial support if my MLOA was approved,Stigma related to MLOAs,Anxiety around falling behind academically,My family was unsupportive,I was concerned I would not be readmitted to Northwestern",I am spiritual,Strongly agree,No answer,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,No answer,Strongly disagree,"I have other sources of support,I generally avoid religious institutions,I did not know chaplain services existed at Northwestern",Somewhat agree,No,No,No answer,Strongly agree,No answer,"Yes, one",Between 1-5 hours,Somewhat disagree,Strongly agree,Somewhat agree,"First year,Second year,Third year"
Buddhist,No answer,Cisgender woman,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese)",Not High Need 4+,Fourth Year,Weinberg College of Arts & Sci,Not 1st Generation,International,Female,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"Friends,Family,Faculty or academic advisors","NU Peer Support Group,Appointment at CAPS","Friend Group,Family,Student organization",Somewhat disagree,No,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,No answer,Strongly disagree,"I have other sources of support,I generally avoid religious institutions",Strongly agree,No,No,No answer,Strongly agree,No answer,No,Between 6-10 hours,Strongly disagree,Strongly disagree,Strongly disagree,No answer
Agnostic,No answer,Cisgender man,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Fourth Year,Weinberg College of Arts & Sci,Not 1st Generation,White,Male,No,"Haven't needed any CAPS services,I am worried the wait time will be too long,I don't have time",Strongly disagree,"Emergency mental health care,Receiving a preliminary diagnosis",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"No, unaware of this service",No answer,Somewhat disagree,Somewhat disagree,Somewhat disagree,"Friends,Student advocacy groups (e.g. Reform CAPS),Student publications,Peer advisors and student mentors","Friends,Family,Peer advisors,Faculty or academic advisors","NU Peer Support Group,Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Academic Cohort (people in your major, PA group, Peer-Guided Study group),Research and campus jobs",Strongly disagree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am spiritual,Somewhat agree,No answer,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No answer,Somewhat disagree,I did not know chaplain services existed at Northwestern,Neither agree nor disagree,No,No,No answer,Somewhat agree,No answer,"Yes, more than one",Between 1-5 hours,Strongly agree,Somewhat agree,Somewhat agree,"First year,Second year"
Agnostic,No answer,Transgender man,No answer,No answer,High Need 4+,Fourth Year,School of Educ & Soc Policy,Not 1st Generation,Two or More Races,Male,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"Student Assistance and Support Service (SASS),Student organizations,CARE,Friends,Family","Drop-In Hours at the Women's Center,Let's Talk,NU Peer Support Group","Friend Group,Academic Cohort (people in your major, PA group, Peer-Guided Study group)",Somewhat agree,Yes,"Yes, although I did not take one.","Stigma related to MLOAs,I was concerned I would not be readmitted to Northwestern,I do not want to be distanced from my community at Northwestern",I am spiritual,Neither agree nor disagree,No answer,Neither agree nor disagree,Somewhat agree,Somewhat agree,Drop-in meditation,Somewhat agree,No answer,No answer,No,Yes,Somewhat agree,Somewhat agree,Somewhat agree,"Yes, one",Between 1-5 hours,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Third year
Catholic,No answer,Cisgender woman,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Fourth Year,Bienen School of Music,First Generation College,White,Female,Yes,No answer,Strongly disagree,No answer,External referral to non-CAPS provider,I met with someone at CAPS and then was referred to an outside care person.,No answer,Once,2020-2021,Strongly disagree,"The counseling I received did not adequately address my concerns or needs.,The wait was too long for me to follow through and receive help.",No,I have not needed to,No answer,No,No answer,Neither agree nor disagree,Somewhat disagree,Somewhat agree,"Personal experience with CAPS,Friends,Student advocacy groups (e.g. Reform CAPS),Social media and online platforms,Student publications,Peer advisors and student mentors","Friends,Family","Active Minds,Appointment at CAPS,Virtual appointment through TimelyCare","Family,Student organization,Sports team",Neither agree or disagree,No,"Yes, although I did not take one.","I decided it was no longer necessary,Anxiety around falling behind academically",I am spiritual,Somewhat agree,No answer,Strongly agree,Strongly agree,Strongly agree,"Weekly religious services,Alice Millar Chapel Choir concerts",Somewhat disagree,"None of the chaplains reflect my identity,I have other sources of support,I did not know chaplain services existed at Northwestern",Somewhat disagree,No,No,No answer,Strongly agree,No answer,No,Between 16-20 hours,Neither agree nor disagree,Strongly disagree,Strongly disagree,No answer
Jewish,No answer,Cisgender man,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Fourth Year,Weinberg College of Arts & Sci,Not 1st Generation,White,Male,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"Student organizations,Sports teams",Appointment at CAPS,"IFC/PHA Greek Life,Friend Group,Family,Student organization",Somewhat agree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,Weekly religious services,Strongly disagree,I generally avoid religious institutions,Neither agree nor disagree,No,No,No answer,Strongly agree,No answer,No,Between 1-5 hours,Somewhat agree,Strongly agree,Strongly agree,"First year,Second year,Third year,Fourth year"
Atheist,No answer,Cisgender man,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese),White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Fourth Year,School of Engineering,Not 1st Generation,Two or More Races,Male,No,"Haven't needed any CAPS services,I am worried the wait time will be too long,I don't think CAPS has staff who can treat me,I don't have time",Somewhat agree,"Emergency mental health care,Receiving a preliminary diagnosis,Counseling on a Medical Leave of Absence",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"No, unaware of this service",No answer,Somewhat disagree,Strongly disagree,Somewhat disagree,"Friends,Student advocacy groups (e.g. Reform CAPS)","Friends,Family,Faculty or academic advisors",Appointment at CAPS,"IFC/PHA Greek Life,Friend Group,Family,Academic Cohort (people in your major, PA group, Peer-Guided Study group),Dorm/neighborhood",Strongly disagree,Yes,"Yes, although I did not take one.","I had a lack of information and guidance about the MLOA process,Stigma related to MLOAs,Anxiety around falling behind academically,I do not want to be distanced from my community at Northwestern",I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,No answer,Strongly disagree,"None of the chaplains reflect my identity,I have other sources of support,I don't trust that the conversation would be truly confidential,I generally avoid religious institutions",Somewhat agree,No,No,No answer,Strongly agree,No answer,"Yes, one",Less than 1 hour,Strongly disagree,Somewhat disagree,Strongly disagree,No answer
Catholic,No answer,Cisgender man,No answer,"Hispanic or Latino (Examples: Puerto Rican, Mexican, Cuban, Salvadoran, Colombian),White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Fourth Year,Weinberg College of Arts & Sci,First Generation College,Hispanic,Male,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"Friends,Family","Drop-In Hours at CARE,Appointment at CAPS",Family,Neither agree or disagree,Yes,"Yes, although I did not take one.",I decided it was no longer necessary,I am religious,Somewhat agree,No answer,Somewhat agree,Strongly agree,Neither agree nor disagree,Weekly religious services,Somewhat agree,No answer,No answer,Yes,Yes,Do not use SES services/Unable to judge,Somewhat agree,Somewhat agree,No,Between 1-5 hours,Strongly agree,Somewhat disagree,Somewhat disagree,No answer
Agnostic,No answer,Cisgender man,No answer,"Hispanic or Latino (Examples: Puerto Rican, Mexican, Cuban, Salvadoran, Colombian),White (Examples: German, Irish, English, Italian, Polish, French)",High Need 4+,Fourth Year,School of Engineering,Not 1st Generation,White,Male,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"Student Assistance and Support Service (SASS),Sports teams,Student Enrichment Services (SES),Friends,Family",Appointment at CAPS,"Friend Group,Academic Cohort (people in your major, PA group, Peer-Guided Study group),Sports team",Neither agree or disagree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,No answer,Strongly disagree,None of the chaplains reflect my identity,Somewhat disagree,No,Yes,Somewhat agree,Strongly agree,Strongly agree,"Yes, more than one",Between 1-5 hours,Somewhat agree,Somewhat disagree,Somewhat disagree,No answer
Agnostic,No answer,Cisgender woman,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese)",Not High Need 4+,Fourth Year,Weinberg College of Arts & Sci,Not 1st Generation,Asian/Pacific Islander,Female,No,Haven't needed any CAPS services,Somewhat disagree,"Coping with academic-related stress,Emergency mental health care,Help transitioning to Northwestern,Counseling on a Medical Leave of Absence",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"No, unaware of this service",No answer,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Friends,"Student organizations,On-campus affinity spaces (e.g. Black House, GSRC, Women's Center),Friends,Family","NU Peer Support Group,Appointment at CAPS","Friend Group,Family",Unable to judge,No,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,No answer,Somewhat disagree,"I generally avoid religious institutions,I did not know chaplain services existed at Northwestern",Somewhat disagree,No,No,No answer,Somewhat agree,No answer,"Yes, one",Between 1-5 hours,Somewhat disagree,Somewhat disagree,Somewhat disagree,No answer
Agnostic,No answer,Cisgender woman,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Fourth Year,School of Educ & Soc Policy,Not 1st Generation,White,Female,Yes,No answer,Somewhat agree,"Coping with academic-related stress,Help with interpersonal relationships","External referral to non-CAPS provider,Individual therapy at CAPS",I received the treatment I needed within CAPS.,No answer,Seven to ten times,"2020-2021,2021-2022",Somewhat agree,No answer,No,I have not needed to,No answer,"No, unaware of this service",No answer,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,"Personal experience with CAPS,Friends,Student publications","Sports teams,Friends,Family","Soldari-tea,Drop-In Hours at CARE,ResilientNU,Appointment at CAPS","Friend Group,Academic Cohort (people in your major, PA group, Peer-Guided Study group),Sports team",Somewhat disagree,Prefer not to answer,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,No answer,Strongly disagree,"I have other sources of support,I did not know chaplain services existed at Northwestern",Neither agree nor disagree,No,Prefer not to answer,No answer,Strongly agree,No answer,"Yes, one",Less than 1 hour,Somewhat disagree,Somewhat disagree,Strongly disagree,No answer
Atheist,No answer,Cisgender woman,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese)",Not High Need 4+,Fourth Year,School of Engineering,Not 1st Generation,Asian/Pacific Islander,Female,Yes,No answer,Strongly disagree,Coping with academic-related stress,Group therapy at CAPS,I met with someone at CAPS for a short period of time and felt I no longer needed treatment.,No answer,Once,2021-2022,Somewhat agree,No answer,No,I have not needed to,No answer,"No, unaware of this service",No answer,Somewhat agree,Somewhat agree,Somewhat agree,Friends,"Friends,Family","Drop-In Hours at CARE,NU Peer Support Group,ResilientNU,Appointment at CAPS","Friend Group,Student organization",Somewhat agree,No,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,No answer,Neither agree nor disagree,No answer,No answer,No,No,No answer,Strongly agree,No answer,"Yes, one",Between 6-10 hours,Strongly disagree,Strongly disagree,Strongly disagree,No answer
No answer,No answer,Cisgender man,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese)",Not High Need 4+,Fourth Year,School of Engineering,Not 1st Generation,International,Male,Yes,No answer,Strongly disagree,No answer,External referral to non-CAPS provider,The wait time for an initial consultation was too long so I did not follow through with the services.,No answer,Once,"2019-2020,2020-2021",Strongly disagree,"The counseling I received did not adequately address my concerns or needs.,CAPS was not prepared to handle my specific need.,The wait was too long for me to follow through and receive help.",No,I have not needed to,No answer,No,No answer,Strongly disagree,Somewhat disagree,Neither agree nor disagree,"Personal experience with CAPS,Friends,Student advocacy groups (e.g. Reform CAPS)","Friends,External resources","Soldari-tea,Let's Talk,Active Minds,ResilientNU,Appointment at CAPS,Virtual appointment through TimelyCare",Friend Group,Strongly disagree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,No answer,Strongly disagree,None of the chaplains reflect my identity,Neither agree nor disagree,No,No,No answer,Somewhat disagree,No answer,"Yes, one",Between 6-10 hours,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No answer
No answer,No answer,Cisgender woman,No answer,"Black or African-American (Examples: Jamaican, Nigerian, Haitian, Ethiopian)",High Need 4+,Fourth Year,School of Journalism,Not 1st Generation,International,Female,Yes,No answer,Somewhat disagree,"Coping with academic-related stress,Help with interpersonal relationships,Emergency mental health care,Help transitioning to Northwestern","External referral to non-CAPS provider,Crisis consultation,Individual therapy at CAPS",I received the treatment I needed within CAPS.,No answer,Eleven or more times,2020-2021,Strongly agree,No answer,"Yes, during office hours (8:30am-5pm)",No answer,No answer,Yes,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Personal experience with CAPS,"CARE,Friends,Family","Drop-In Hours at the Women's Center,Drop-In Hours at CARE,NU Peer Support Group,ResilientNU,Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Family,Academic Cohort (people in your major, PA group, Peer-Guided Study group),Student organization",Somewhat agree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am spiritual,Somewhat agree,No answer,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Alice Millar Chapel Choir concerts,Strongly disagree,"I have other sources of support,I did not know chaplain services existed at Northwestern",Neither agree nor disagree,No,Yes,Strongly agree,Somewhat agree,Somewhat agree,"Yes, more than one",Between 1-5 hours,Strongly agree,Somewhat agree,Somewhat agree,"Second year,Third year,Fourth year"
Christian (non-denominational),No answer,Cisgender woman,No answer,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese)",Not High Need 4+,Fourth Year,Weinberg College of Arts & Sci,Not 1st Generation,Asian/Pacific Islander,Female,No,"I am worried the wait time will be too long,I don't have time,I am worried about cost",Somewhat agree,"Coping with academic-related stress,Help with interpersonal relationships,Emergency mental health care,Help navigating my identity",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Friends,Peer advisors and student mentors","Student Assistance and Support Service (SASS),Student organizations,On-campus affinity spaces (e.g. Black House, GSRC, Women's Center),Friends,Family",Appointment at CAPS,"Friend Group,Family,Student organization",Neither agree or disagree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am religious,Somewhat agree,No answer,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Alice Millar Chapel Choir concerts,Neither agree nor disagree,No answer,No answer,No,No,No answer,Somewhat agree,No answer,"Yes, one",Between 6-10 hours,Somewhat agree,Somewhat disagree,Neither agree nor disagree,No answer
Buddhist,No answer,Cisgender woman,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Fourth Year,Weinberg College of Arts & Sci,Not 1st Generation,White,Female,No,Haven't needed any CAPS services,Strongly disagree,"Emergency mental health care,Counseling on a Medical Leave of Absence",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,Somewhat disagree,Somewhat disagree,Somewhat disagree,"Friends,Student advocacy groups (e.g. Reform CAPS),Student publications","Friends,Family","Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Family",Somewhat disagree,No,"No, I have never considered taking a medical leave of absence.",No answer,I am spiritual,Somewhat agree,No answer,Strongly agree,Strongly agree,Strongly agree,Drop-in meditation,Strongly disagree,I generally avoid religious institutions,Strongly agree,No,No,No answer,Strongly agree,No answer,"Yes, one",Between 11-15 hours,Somewhat disagree,Somewhat agree,Strongly disagree,"Third year,Fourth year"
No answer,No answer,No answer,No answer,No answer,High Need 4+,Fourth Year,Weinberg College of Arts & Sci,Not 1st Generation,Asian/Pacific Islander,Female,No,"I don't think CAPS has staff who can treat me,Other students have had bad experiences with CAPS",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer
No answer,No answer,No answer,No answer,No answer,Not High Need 4+,Fourth Year,Weinberg College of Arts & Sci,Not 1st Generation,White,Male,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Neither agree or disagree,Prefer not to answer,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,No answer,Neither agree nor disagree,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer
Agnostic,No answer,Cisgender woman,No answer,"Hispanic or Latino (Examples: Puerto Rican, Mexican, Cuban, Salvadoran, Colombian)",Not High Need 4+,Fourth Year,Weinberg College of Arts & Sci,Not 1st Generation,Hispanic,Female,Yes,No answer,Strongly disagree,"Coping with academic-related stress,Emergency mental health care,Receiving a preliminary diagnosis,Counseling on a Medical Leave of Absence",External referral to non-CAPS provider,The wait time for an initial consultation was too long so I did not follow through with the services.,No answer,Once,2020-2021,Neither agree nor disagree,No answer,No,I have not needed to,No answer,No,No answer,Somewhat agree,Somewhat disagree,Neither agree nor disagree,"Student advocacy groups (e.g. Reform CAPS),Social media and online platforms,Student publications","Student organizations,On-campus affinity spaces (e.g. Black House, GSRC, Women's Center),Friends","ResilientNU,Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Student organization",Somewhat disagree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,"Weekly religious services,Drop-in meditation",Somewhat disagree,"I have other sources of support,I generally avoid religious institutions",Somewhat agree,No,No,No answer,Strongly agree,No answer,No,Between 6-10 hours,Somewhat agree,Somewhat disagree,Somewhat disagree,No answer
Agnostic,No answer,Cisgender woman,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Fourth Year,Weinberg College of Arts & Sci,Not 1st Generation,White,Female,No,I have an external provider for mental and psychological health,Neither agree nor disagree,Emergency mental health care,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Friends,Student advocacy groups (e.g. Reform CAPS),Social media and online platforms","On-campus affinity spaces (e.g. Black House, GSRC, Women's Center),Friends,Family,Faculty or academic advisors,my therapist","Let's Talk,Drop-In Hours at CARE,Active Minds,ResilientNU,Appointment at CAPS","Friend Group,Family,Academic Cohort (people in your major, PA group, Peer-Guided Study group),Student organization",Unable to judge,Yes,"Yes, although I did not take one.","I decided it was no longer necessary,Stigma related to MLOAs,Anxiety around falling behind academically,I do not want to be distanced from my community at Northwestern",I am spiritual,Strongly agree,No answer,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Weekly religious services,Drop-in meditation",Strongly disagree,"I have other sources of support,I generally avoid religious institutions",Strongly agree,No,No,No answer,Strongly agree,No answer,"Yes, one",Between 6-10 hours,Strongly disagree,Strongly disagree,Strongly disagree,No answer
Jewish,No answer,Cisgender woman,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Fourth Year,Weinberg College of Arts & Sci,Not 1st Generation,White,Female,Yes,No answer,Strongly disagree,"Coping with academic-related stress,Help with interpersonal relationships,Emergency mental health care,Help transitioning to Northwestern","External referral to non-CAPS provider,Crisis consultation,Individual therapy at CAPS",I met with someone at CAPS and then was referred to an outside care person.,No answer,Two to three times,2019-2020,Somewhat agree,No answer,No,I have not needed to,No answer,No,No answer,Strongly agree,Neither agree nor disagree,Strongly agree,"Personal experience with CAPS,Student advocacy groups (e.g. Reform CAPS),Social media and online platforms","CARE,Friends,Family",Appointment at CAPS,"Friend Group,Family",Somewhat agree,Yes,"Yes, although I did not take one.","I decided it was no longer necessary,Stigma related to MLOAs,Anxiety around falling behind academically,I was concerned I would not be readmitted to Northwestern,I do not want to be distanced from my community at Northwestern",I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,No answer,Somewhat disagree,"I have other sources of support,I generally avoid religious institutions,I did not know chaplain services existed at Northwestern",Strongly agree,No,No,No answer,Somewhat agree,No answer,No,Between 1-5 hours,Strongly disagree,Strongly disagree,Strongly disagree,No answer
Baptist,No answer,Cisgender woman,No answer,"Black or African-American (Examples: Jamaican, Nigerian, Haitian, Ethiopian)",High Need 4+,Fourth Year,School of Communication,Not 1st Generation,Black or African American,Female,Yes,No answer,Strongly disagree,"Coping with academic-related stress,Help with interpersonal relationships,Help transitioning to Northwestern,Help navigating my identity",Individual therapy at CAPS,I met with someone at CAPS for a short period of time and felt I no longer needed treatment.,No answer,Four to six times,"2019-2020,2020-2021",Somewhat agree,No answer,No,I have not needed to,No answer,No,No answer,Somewhat agree,Strongly disagree,Somewhat agree,"Personal experience with CAPS,Social media and online platforms,Student publications","On-campus affinity spaces (e.g. Black House, GSRC, Women's Center),Friends,Family","Let's Talk,ResilientNU,Appointment at CAPS","Friend Group,Family",Somewhat agree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,"Drop-in meditation,Alice Millar Chapel Choir concerts",Strongly disagree,I have other sources of support,Strongly disagree,No,No,No answer,Strongly agree,No answer,"Yes, one",Between 6-10 hours,Strongly disagree,Strongly disagree,Strongly disagree,No answer
